x,y
0.7243389000184743,0.1401958324929984
0.7491888690576705,0.1074818208285216
0.7461826827362352,0.1528585530031332
0.7311117698043361,0.1056198425733403
0.7236692778408913,0.1517046262086465
0.7295455430675672,0.1578234824469889
0.7635517688508635,0.1042475618815221
0.7416624076724578,0.1619475586959373
0.7672180109800677,0.1049805927298277
0.7426507714959043,0.0912645558279948
-0.5625681366615758,1.432601604400937
0.8051571391144376,0.1149314939467691
0.8553399528195227,0.1420470774704471
0.8430757718412787,0.1226231577071342
0.8433517822013297,0.1431259603913047
0.8460437733760102,0.109748182619668
0.8606643668630714,0.1689863887512288
0.8508432574793896,0.1735700045304954
0.8370977569571378,0.1635039228566835
0.8266368968629099,0.153991574598689
0.8815248630259673,0.1804939749347399
0.8559234959479065,0.0744213755745987
0.8694812155860481,0.0671072493128959
0.8951442701595385,0.1023851572936994
0.866736225592367,0.0592302835434065
