x,y,acquisition_value
-0.5625681366615758,1.432601604400937,0.4992184472505271
0.8460437733760102,0.109748182619668,0.3487466238844123
0.8553399528195227,0.1420470774704471,0.34727318321333556
0.8430757718412787,0.1226231577071342,0.34170214244705877
0.8559234959479065,0.0744213755745987,0.3362045337048584
0.8433517822013297,0.1431259603913047,0.330280840151579
0.8694812155860481,0.0671072493128959,0.32998002657383346
0.8951442701595385,0.1023851572936994,0.32384094461746776
0.8606643668630714,0.1689863887512288,0.3182681200505239
0.866736225592367,0.0592302835434065,0.3119922716851606
