x,y,qbc_variance
0.8508432574793896,0.1735700045304954,0.5377159071982008
0.8370977569571378,0.1635039228566835,0.5346684634666934
0.8606643668630714,0.1689863887512288,0.5237820995994019
0.8266368968629099,0.153991574598689,0.520148465555997
0.8433517822013297,0.1431259603913047,0.5138135628399667
0.8553399528195227,0.1420470774704471,0.5036896250035761
0.8430757718412787,0.1226231577071342,0.4800246342779266
0.8815248630259673,0.1804939749347399,0.478077718477852
0.8460437733760102,0.109748182619668,0.45141737377493335
0.8051571391144376,0.1149314939467691,0.43595441702835985
