x,y,acquisition_value
-0.5625681366615758,1.432601604400937,0.5048609929204311
0.7491888690576705,0.1074818208285216,0.23931326762276312
0.7635517688508635,0.1042475618815221,0.2392497248437391
0.7672180109800677,0.1049805927298277,0.23885733478404322
0.7426507714959043,0.0912645558279948,0.23807829881707798
0.7311117698043361,0.1056198425733403,0.23735702000402023
0.7243389000184743,0.1401958324929984,0.22967072717744733
0.7461826827362352,0.1528585530031332,0.22638951308855573
0.7236692778408913,0.1517046262086465,0.2252412007518189
0.8051571391144376,0.1149314939467691,0.2250436265167671
