x,y,acquisition_value
0.8553399528195227,0.1420470774704471,0.18457407735082987
0.8430757718412787,0.1226231577071342,0.17844687398572626
0.8433517822013297,0.1431259603913047,0.1771835186981559
0.8460437733760102,0.109748182619668,0.1769686639519943
0.8606643668630714,0.1689863887512288,0.17067460258175013
0.8508432574793896,0.1735700045304954,0.16529222482413838
0.8370977569571378,0.1635039228566835,0.16209012755397717
0.8266368968629099,0.153991574598689,0.1542698823555962
0.8815248630259673,0.1804939749347399,0.14905686776547267
0.8559234959479065,0.0744213755745987,0.14763053610331764
