x,y,acquisition_value
0.8553399528195227,0.1420470774704471,1.2216931240625781
0.8433517822013297,0.1431259603913047,1.203247398925035
0.8430757718412787,0.1226231577071342,1.2025399825077614
0.8460437733760102,0.109748182619668,1.1937987215083004
0.8606643668630714,0.1689863887512288,1.1844783727053778
0.8508432574793896,0.1735700045304954,1.1691247011980022
0.8370977569571378,0.1635039228566835,1.1589971965321904
0.8266368968629099,0.153991574598689,1.1325284608688932
0.8815248630259673,0.1804939749347399,1.112654598706345
0.8559234959479065,0.0744213755745987,1.0941553150274526
